# ss_timing - lindsay
# run_number	run_trial	stair_trial	stair_num	surr_onset	i_surr_onset	surr_ori	i_surr_ori	target_ori	surr_contrast	target_contrast	target_pos	raw_resp	response_pos	correct	response_time	alpha_hat	beta_hat	completed	when
1	1	1	1	pre	0	90	1	90	0.25	0.0332269112421	SW	n	SW	1	1.12618303299	0.0700628614664	5.23684287992	1	2015-08-03 13:40:26.510649
1	2	1	2	pre	0	90	1	90	0.25	0.0332269112421	NE	n	NE	1	1.11214900017	0.0700628614664	5.23684287992	1	2015-08-03 13:40:28.535844
1	3	2	2	pre	0	90	1	90	0.25	0.0109676760216	SW	n	NE	0	1.28693985939	0.138491137029	5.32642185384	1	2015-08-03 13:40:30.745078
1	4	3	2	pre	0	90	1	90	0.25	0.0456063995765	SW	n	SW	1	1.15770697594	0.072315101389	5.41166067696	1	2015-08-03 13:40:32.823050
1	5	2	1	pre	0	90	1	90	0.25	0.0109676760216	SW	n	NE	0	1.1277050972	0.138491137029	5.32642185384	1	2015-08-03 13:40:34.868237
1	6	4	2	pre	0	90	1	90	0.25	0.0232681672947	NW	n	NE	0	1.29050707817	0.131868870395	5.34900849806	1	2015-08-03 13:40:37.081772
1	7	3	1	pre	0	90	1	90	0.25	0.0456063995765	SE	n	SE	1	1.19698095322	0.072315101389	5.41166067696	1	2015-08-03 13:40:39.198283
1	8	5	2	pre	0	90	1	90	0.25	0.0555885919223	SE	n	SE	1	1.10443782806	0.0754143696617	5.6233609659	1	2015-08-03 13:40:41.229614
1	9	4	1	pre	0	90	1	90	0.25	0.0232681672947	NW	n	SE	0	1.18509507179	0.131868870395	5.34900849806	1	2015-08-03 13:40:43.341712
1	10	5	1	pre	0	90	1	90	0.25	0.0555885919223	NW	n	NW	1	1.24097585678	0.0754143696617	5.6233609659	1	2015-08-03 13:40:45.510984
1	11	6	1	pre	0	90	1	90	0.25	0.0366834280939	NE	n	NE	1	1.15169000626	0.0483752029026	5.98893479719	1	2015-08-03 13:40:47.594783
1	12	6	2	pre	0	90	1	90	0.25	0.0366834280939	NW	n	NW	1	1.37987709045	0.0483752029026	5.98893479719	1	2015-08-03 13:40:49.904333
1	13	7	2	pre	0	90	1	90	0.25	0.0289279762059	NE	n	NE	1	1.13430595398	0.0355189289864	5.9689270138	1	2015-08-03 13:40:51.972706
1	14	7	1	pre	0	90	1	90	0.25	0.0289279762059	NE	n	NE	1	1.1379339695	0.0355189289864	5.9689270138	1	2015-08-03 13:40:54.039183
1	15	8	1	pre	0	90	1	90	0.25	0.0210757110128	NW	n	NE	0	1.1194229126	0.0436032475347	7.07982737704	1	2015-08-03 13:40:56.091017
1	16	8	2	pre	0	90	1	90	0.25	0.0210757110128	SW	n	NE	0	1.13958311081	0.0436032475347	7.07982737704	1	2015-08-03 13:40:58.167605
1	17	9	2	pre	0	90	1	90	0.25	0.0306977126987	NW	n	NW	1	1.70298600197	0.034419649213	7.56794100823	1	2015-08-03 13:41:00.800677
1	18	10	2	pre	0	90	1	90	0.25	0.0283610341648	NE	n	NE	1	1.10190701485	0.0296936867471	7.86146359836	1	2015-08-03 13:41:02.835214
1	19	9	1	pre	0	90	1	90	0.25	0.0306977126987	NW	n	NW	1	1.33135390282	0.034419649213	7.56794100823	1	2015-08-03 13:41:05.100799
1	20	10	1	pre	0	90	1	90	0.25	0.0283610341648	NW	n	NE	0	1.10575413704	0.0466255040557	6.8098532845	1	2015-08-03 13:41:07.143639
1	21	11	1	pre	0	90	1	90	0.25	0.0345686125044	NW	n	SW	0	1.45489501953	0.0782807336582	4.63006364807	1	2015-08-03 13:41:09.534114
1	22	11	2	pre	0	90	1	90	0.25	0.0262022212141	SW	n	SW	1	1.36040687561	0.0269058724257	7.80393722554	1	2015-08-03 13:41:11.828868
1	23	12	1	pre	0	90	1	90	0.25	0.0483964775639	NE	n	NE	1	1.08162498474	0.0556716827095	5.0973634601	1	2015-08-03 13:41:13.844302
1	24	13	1	pre	0	90	1	90	0.25	0.0404995182042	NW	n	NW	1	1.27418088913	0.0445037410481	5.5617480052	1	2015-08-03 13:41:16.055569
1	25	12	2	pre	0	90	1	90	0.25	0.0214970181679	SW	n	NW	0	1.32686185837	0.0289285679244	9.21587244305	1	2015-08-03 13:41:18.321346
