# ss_timing - practice
# run_number	run_trial	stair_trial	stair_num	surr_onset	i_surr_onset	surr_ori	i_surr_ori	target_ori	surr_contrast	target_contrast	target_pos	raw_resp	response_pos	correct	response_time	alpha_hat	beta_hat	completed	when
1	1	1	1	sim	1	0	0	90	0.25	0.0332269112421	SW	n	NW	0	1.99495816231	0.276102478143	5.6485980102	1	2015-08-11 11:04:48.646474
1	2	2	1	sim	1	0	0	90	0.25	0.165106831451	SW	n	SW	1	2.25844788551	0.177241298686	5.45908386665	1	2015-08-11 11:04:51.819479
1	3	3	1	sim	1	0	0	90	0.25	0.0929996631158	SE	n	SE	1	1.53344011307	0.113599596108	5.39916960824	1	2015-08-11 11:04:54.271977
1	4	4	1	sim	1	0	0	90	0.25	0.060168561352	NE	n	NE	1	1.54491400719	0.0748570692954	5.30700451363	1	2015-08-11 11:04:56.739730
1	5	1	2	sim	1	0	0	90	0.25	0.0332269112421	SE	n	SE	1	1.26115584373	0.0700628614664	5.23684287992	1	2015-08-11 11:04:58.915501
1	6	2	2	sim	1	0	0	90	0.25	0.0109676760216	NE	n	NE	1	2.38135099411	0.0324479412506	5.18760145261	1	2015-08-11 11:05:02.212352
1	7	3	2	sim	1	0	0	90	0.25	0.00516972032185	NW	n	SE	0	1.24449396133	0.0646657573731	5.19552246791	1	2015-08-11 11:05:04.423509
1	8	4	2	sim	1	0	0	90	0.25	0.0144696642078	SE	n	SE	1	1.32932901382	0.0313845263733	5.38141010871	1	2015-08-11 11:05:06.678836
1	9	5	2	sim	1	0	0	90	0.25	0.00882183111216	SE	n	SE	1	1.19399189949	0.0170978718187	5.44915204238	1	2015-08-11 11:05:08.798261
1	10	6	2	sim	1	0	0	90	0.25	0.00682041637241	NE	n	NE	1	1.49054312706	0.010569227564	5.26282079147	1	2015-08-11 11:05:11.216140
1	11	7	2	sim	1	0	0	90	0.25	0.00450085610943	SW	n	SW	1	1.83261680603	0.00740307756911	4.42810351285	1	2015-08-11 11:05:13.983862
1	12	8	2	sim	1	0	0	90	0.25	0.00376644154935	SE	n	SE	1	1.24090695381	0.00517696671157	4.13008995161	1	2015-08-11 11:05:16.161248
1	13	9	2	sim	1	0	0	90	0.25	0.00291194642952	NW	n	SE	0	1.34350514412	0.00777437103465	4.01477286446	1	2015-08-11 11:05:18.438633
1	14	10	2	sim	1	0	0	90	0.25	0.00450085610943	SW	n	NE	0	1.67409110069	0.0110965285073	4.40795334734	1	2015-08-11 11:05:21.046809
1	15	5	1	sim	1	0	0	90	0.25	0.0421348870262	SW	n	SW	1	1.18593811989	0.0506881844177	5.02111455491	1	2015-08-11 11:05:23.159168
