# ss_timing - sarita
# run_number	run_trial	stair_trial	stair_num	surr_onset	i_surr_onset	surr_ori	i_surr_ori	target_ori	surr_contrast	target_contrast	target_pos	raw_resp	response_pos	correct	response_time	alpha_hat	beta_hat	completed	when
1	1	1	2	pre	0	90	1	90	0.25	0.0332269112421	SE	n	SW	0	4.60071706772	0.276102478143	5.6485980102	1	2015-08-06 16:22:54.616887
1	2	2	2	pre	0	90	1	90	0.25	0.165106831451	SW	n	SW	1	1.21701192856	0.177241298686	5.45908386665	1	2015-08-06 16:22:56.749944
1	3	3	2	pre	0	90	1	90	0.25	0.0929996631158	SW	n	SW	1	1.17996096611	0.113599596108	5.39916960824	1	2015-08-06 16:22:58.849763
1	4	1	1	pre	0	90	1	90	0.25	0.0332269112421	NE	n	NW	0	1.61620402336	0.276102478143	5.6485980102	1	2015-08-06 16:23:01.375979
1	5	4	2	pre	0	90	1	90	0.25	0.060168561352	SW	n	SW	1	1.17787313461	0.0748570692954	5.30700451363	1	2015-08-06 16:23:03.478904
1	6	2	1	pre	0	90	1	90	0.25	0.165106831451	SW	n	SW	1	1.08294510841	0.177241298686	5.45908386665	1	2015-08-06 16:23:05.482558
1	7	3	1	pre	0	90	1	90	0.25	0.0929996631158	NE	n	NE	1	1.26330709457	0.113599596108	5.39916960824	1	2015-08-06 16:23:07.666826
1	8	4	1	pre	0	90	1	90	0.25	0.060168561352	NW	n	NW	1	1.05500292778	0.0748570692954	5.30700451363	1	2015-08-06 16:23:09.644477
1	9	5	1	pre	0	90	1	90	0.25	0.0421348870262	SW	n	SW	1	1.12695002556	0.0506881844177	5.02111455491	1	2015-08-06 16:23:11.711434
1	10	5	2	pre	0	90	1	90	0.25	0.0421348870262	SE	n	SE	1	1.29036617279	0.0506881844177	5.02111455491	1	2015-08-06 16:23:13.919682
1	11	6	2	pre	0	90	1	90	0.25	0.0219267473268	SE	n	NE	0	1.05809807777	0.0728411199492	5.63819373125	1	2015-08-06 16:23:15.898570
1	12	7	2	pre	0	90	1	90	0.25	0.0483964775639	NE	n	NE	1	1.1460621357	0.0546705608311	5.93917344592	1	2015-08-06 16:23:17.993009
1	13	6	1	pre	0	90	1	90	0.25	0.0219267473268	SE	n	NW	0	1.60873889923	0.0728411199492	5.63819373125	1	2015-08-06 16:23:20.523955
1	14	8	2	pre	0	90	1	90	0.25	0.0421348870262	NE	n	NE	1	1.12578010559	0.0441407063232	6.16481980848	1	2015-08-06 16:23:22.576246
1	15	9	2	pre	0	90	1	90	0.25	0.0300960866544	NE	n	NE	1	1.1694829464	0.0373443316709	5.06144359707	1	2015-08-06 16:23:24.678379
1	16	10	2	pre	0	90	1	90	0.25	0.0272602657919	NE	n	SW	0	1.52332901955	0.0464046878851	6.06697410825	1	2015-08-06 16:23:27.129542
1	17	7	1	pre	0	90	1	90	0.25	0.0483964775639	SE	n	SE	1	1.16013407707	0.0546705608311	5.93917344592	1	2015-08-06 16:23:29.219471
1	18	8	1	pre	0	90	1	90	0.25	0.0421348870262	SE	n	SE	1	1.11823987961	0.0441407063232	6.16481980848	1	2015-08-06 16:23:31.269279
1	19	11	2	pre	0	90	1	90	0.25	0.0389276224653	SE	n	SE	1	1.14039897919	0.0404866520241	6.26324106618	1	2015-08-06 16:23:33.338759
1	20	12	2	pre	0	90	1	90	0.25	0.035259645124	SW	n	SW	1	1.17489004135	0.0365037651403	6.11332249932	1	2015-08-06 16:23:35.448674
1	21	13	2	pre	0	90	1	90	0.25	0.0300960866544	NE	n	NE	1	1.08096694946	0.0332637494785	5.28672599977	1	2015-08-06 16:23:37.464601
1	22	14	2	pre	0	90	1	90	0.25	0.0242077349001	NW	n	NW	1	1.24901914597	0.0298999180341	4.1232272374	1	2015-08-06 16:23:39.647434
1	23	9	1	pre	0	90	1	90	0.25	0.0300960866544	NE	n	NE	1	1.298183918	0.0373443316709	5.06144359707	1	2015-08-06 16:23:41.877645
1	24	15	2	pre	0	90	1	90	0.25	0.0198606871035	SE	n	NE	0	1.48396110535	0.0341575324764	5.04001154819	1	2015-08-06 16:23:44.292064
1	25	10	1	pre	0	90	1	90	0.25	0.0272602657919	SE	n	SE	1	1.34151601791	0.0306545490501	4.3190025297	1	2015-08-06 16:23:46.562378
1	26	11	1	pre	0	90	1	90	0.25	0.0172910891349	NW	n	SE	0	1.99916911125	0.0382416594956	5.00884467366	1	2015-08-06 16:23:49.489108
1	27	12	1	pre	0	90	1	90	0.25	0.0300960866544	NW	n	NW	1	1.16043686867	0.0333216089015	4.79482531662	1	2015-08-06 16:23:51.581398
1	28	13	1	pre	0	90	1	90	0.25	0.0283610341648	NE	n	NE	1	1.22814488411	0.0294051477293	4.84842435743	1	2015-08-06 16:23:53.741214
1	29	14	1	pre	0	90	1	90	0.25	0.0272602657919	SW	n	SW	1	1.34029579163	0.0263581420161	5.05543952125	1	2015-08-06 16:23:56.017313
1	30	16	2	pre	0	90	1	90	0.25	0.0300960866544	NE	n	NE	1	1.22418999672	0.0316254773241	4.75692798081	1	2015-08-06 16:23:58.176829
1	31	17	2	pre	0	90	1	90	0.25	0.0289279762059	NW	n	NW	1	1.20066213608	0.0294246570626	4.59299015497	1	2015-08-06 16:24:00.308996
1	32	18	2	pre	0	90	1	90	0.25	0.022812148451	SW	n	SW	1	1.4124648571	0.0272860588432	3.74366029797	1	2015-08-06 16:24:02.657924
1	33	15	1	pre	0	90	1	90	0.25	0.0187157098512	SE	n	NE	0	1.34354114532	0.0293705906183	6.24252804108	1	2015-08-06 16:24:04.934941
