# ss_timing - sneha
# run_number	run_trial	stair_trial	stair_num	surr_onset	i_surr_onset	surr_ori	i_surr_ori	target_ori	surr_contrast	target_contrast	target_pos	raw_resp	response_pos	correct	response_time	alpha_hat	beta_hat	completed	when
1	1	1	1	pre	0	90	1	90	0.25	0.0332269112421	SW	n	SW	1	1.29280400276	0.0700628614664	5.23684287992	1	2015-08-05 13:18:41.977651
1	2	1	2	pre	0	90	1	90	0.25	0.0332269112421	NW	n	NE	0	1.24079489708	0.276102478143	5.6485980102	1	2015-08-05 13:18:44.078963
1	3	2	1	pre	0	90	1	90	0.25	0.0109676760216	NE	n	SE	0	1.27540111542	0.138491137029	5.32642185384	1	2015-08-05 13:18:46.239091
1	4	3	1	pre	0	90	1	90	0.25	0.0456063995765	NE	n	NE	1	1.29923987389	0.072315101389	5.41166067696	1	2015-08-05 13:18:48.413805
1	5	2	2	pre	0	90	1	90	0.25	0.165106831451	NW	n	NW	1	1.25248813629	0.177241298686	5.45908386665	1	2015-08-05 13:18:50.535859
1	6	3	2	pre	0	90	1	90	0.25	0.0929996631158	SW	n	SW	1	1.11437988281	0.113599596108	5.39916960824	1	2015-08-05 13:18:52.520660
1	7	4	2	pre	0	90	1	90	0.25	0.060168561352	SW	n	SW	1	1.11430501938	0.0748570692954	5.30700451363	1	2015-08-05 13:18:54.535162
1	8	4	1	pre	0	90	1	90	0.25	0.0232681672947	SW	n	NE	0	2.16222596169	0.131868870395	5.34900849806	1	2015-08-05 13:18:57.574743
1	9	5	2	pre	0	90	1	90	0.25	0.0421348870262	SE	n	SE	1	1.33933591843	0.0506881844177	5.02111455491	1	2015-08-05 13:18:59.790368
1	10	6	2	pre	0	90	1	90	0.25	0.0219267473268	NW	n	NW	1	1.47564697266	0.0333072404572	4.53696117634	1	2015-08-05 13:19:02.141898
1	11	7	2	pre	0	90	1	90	0.25	0.0121086173724	SW	n	SE	0	1.45206284523	0.0546467206598	4.51042354405	1	2015-08-05 13:19:04.472974
1	12	8	2	pre	0	90	1	90	0.25	0.0278052032805	SW	n	NE	0	1.47293496132	0.0744436261586	5.08293399944	1	2015-08-05 13:19:06.832476
1	13	5	1	pre	0	90	1	90	0.25	0.0555885919223	SE	n	NE	0	1.48937010765	0.266785400708	4.69335336758	1	2015-08-05 13:19:09.200329
1	14	6	1	pre	0	90	1	90	0.25	0.168407345935	SE	n	SE	1	1.14548110962	0.178424837048	4.37863603817	1	2015-08-05 13:19:11.229290
1	15	7	1	pre	0	90	1	90	0.25	0.102674197725	SE	n	SE	1	1.18847298622	0.121877419335	4.25348598091	1	2015-08-05 13:19:13.298679
1	16	9	2	pre	0	90	1	90	0.25	0.0493639316283	SW	n	SW	1	1.12703800201	0.0567606871545	5.3599436167	1	2015-08-05 13:19:15.309755
1	17	8	1	pre	0	90	1	90	0.25	0.0719007671854	SW	n	SW	1	1.13991713524	0.0871058754095	4.19091500707	1	2015-08-05 13:19:17.333181
1	18	9	1	pre	0	90	1	90	0.25	0.047447984051	SW	n	SW	1	1.16443395615	0.0650320750733	4.15463218141	1	2015-08-05 13:19:19.383746
1	19	10	1	pre	0	90	1	90	0.25	0.0397057924575	NE	n	NE	1	1.45781898499	0.049739406636	4.4621135717	1	2015-08-05 13:19:21.726629
1	20	11	1	pre	0	90	1	90	0.25	0.035259645124	SE	n	SE	1	1.40287613869	0.0396101179289	4.90175304478	1	2015-08-05 13:19:24.019440
1	21	10	2	pre	0	90	1	90	0.25	0.0438362919717	NE	n	SE	0	2.72599101067	0.0829109180355	4.66031680446	1	2015-08-05 13:19:27.626648
