# ss_timing - tarryn
# run_number	run_trial	stair_trial	stair_num	surr_onset	i_surr_onset	surr_ori	i_surr_ori	target_ori	surr_contrast	target_contrast	target_pos	raw_resp	response_pos	correct	response_time	alpha_hat	beta_hat	completed	when
1	1	1	2	pre	0	90	1	90	0.25	0.0332269112421	SW	n	SW	1	1.18399000168	0.0700628614664	5.23684287992	1	2015-08-06 16:42:15.344659
1	2	1	1	pre	0	90	1	90	0.25	0.0332269112421	NW	n	NE	0	1.07492208481	0.276102478143	5.6485980102	1	2015-08-06 16:42:17.287328
1	3	2	1	pre	0	90	1	90	0.25	0.165106831451	SW	n	SW	1	1.19484496117	0.177241298686	5.45908386665	1	2015-08-06 16:42:19.410477
1	4	2	2	pre	0	90	1	90	0.25	0.0109676760216	SW	n	SE	0	2.46496200562	0.138491137029	5.32642185384	1	2015-08-06 16:42:22.753516
1	5	3	2	pre	0	90	1	90	0.25	0.0456063995765	SW	n	SW	1	1.15386486053	0.072315101389	5.41166067696	1	2015-08-06 16:42:24.788100
1	6	3	1	pre	0	90	1	90	0.25	0.0929996631158	NE	n	NE	1	1.03123092651	0.113599596108	5.39916960824	1	2015-08-06 16:42:26.694872
1	7	4	2	pre	0	90	1	90	0.25	0.0232681672947	SW	n	SW	1	1.15114808083	0.0406851823884	5.44493620892	1	2015-08-06 16:42:28.816623
1	8	4	1	pre	0	90	1	90	0.25	0.060168561352	SE	n	SE	1	1.05060219765	0.0748570692954	5.30700451363	1	2015-08-06 16:42:30.746837
1	9	5	2	pre	0	90	1	90	0.25	0.0166199752417	SW	n	SE	0	1.15452885628	0.0690550751445	5.68142934694	1	2015-08-06 16:42:32.850252
1	10	5	1	pre	0	90	1	90	0.25	0.0421348870262	NE	n	NE	1	1.14486694336	0.0506881844177	5.02111455491	1	2015-08-06 16:42:34.872660
1	11	6	2	pre	0	90	1	90	0.25	0.0278052032805	SW	n	SW	1	1.15440201759	0.0415432073948	6.10048476578	1	2015-08-06 16:42:36.910737
1	12	7	2	pre	0	90	1	90	0.25	0.022812148451	NE	n	NE	1	1.23628115654	0.0288437621139	6.38797642073	1	2015-08-06 16:42:39.029192
1	13	6	1	pre	0	90	1	90	0.25	0.0219267473268	NE	n	SW	0	1.31775903702	0.0728411199492	5.63819373125	1	2015-08-06 16:42:41.226986
1	14	8	2	pre	0	90	1	90	0.25	0.0194714494187	NW	n	NW	1	1.64789104462	0.0225884652003	6.23699106983	1	2015-08-06 16:42:43.762688
1	15	7	1	pre	0	90	1	90	0.25	0.0483964775639	SE	n	SE	1	1.18410992622	0.0546705608311	5.93917344592	1	2015-08-06 16:42:45.829619
1	16	8	1	pre	0	90	1	90	0.25	0.0421348870262	NE	n	NE	1	1.19717907906	0.0441407063232	6.16481980848	1	2015-08-06 16:42:47.912596
1	17	9	2	pre	0	90	1	90	0.25	0.0150539486329	NE	n	NW	0	2.01809406281	0.0268228931445	7.49415539673	1	2015-08-06 16:42:50.820114
1	18	10	2	pre	0	90	1	90	0.25	0.0206626608038	NE	n	SE	0	1.84650182724	0.0389058350273	6.35248610817	1	2015-08-06 16:42:53.557378
1	19	11	2	pre	0	90	1	90	0.25	0.0256886996089	SE	n	SE	1	1.22119188309	0.0293557067452	6.96684080852	1	2015-08-06 16:42:55.665940
1	20	12	2	pre	0	90	1	90	0.25	0.0237333020349	SE	n	SE	1	1.18457603455	0.02481918877	7.47670517196	1	2015-08-06 16:42:57.741061
1	21	9	1	pre	0	90	1	90	0.25	0.0300960866544	NW	n	NW	1	1.26938605309	0.0373443316709	5.06144359707	1	2015-08-06 16:42:59.897925
1	22	13	2	pre	0	90	1	90	0.25	0.0219267473268	SE	n	SE	1	1.2724750042	0.022454792209	7.71536523264	1	2015-08-06 16:43:02.060508
1	23	10	1	pre	0	90	1	90	0.25	0.0272602657919	SW	n	SW	1	1.19783806801	0.0306545490501	4.3190025297	1	2015-08-06 16:43:04.149189
1	24	11	1	pre	0	90	1	90	0.25	0.0172910891349	SW	n	NE	0	1.34108495712	0.0382416594956	5.00884467366	1	2015-08-06 16:43:06.389109
1	25	14	2	pre	0	90	1	90	0.25	0.0194714494187	SE	n	SE	1	1.13311910629	0.0209896533529	7.26034501162	1	2015-08-06 16:43:08.410565
1	26	15	2	pre	0	90	1	90	0.25	0.0187157098512	SE	n	SE	1	1.14361000061	0.0197617616349	6.82092131099	1	2015-08-06 16:43:10.457901
1	27	12	1	pre	0	90	1	90	0.25	0.0300960866544	SW	n	SW	1	1.24821400642	0.0333216089015	4.79482531662	1	2015-08-06 16:43:12.593102
1	28	13	1	pre	0	90	1	90	0.25	0.0283610341648	SE	n	SE	1	1.14495706558	0.0294051477293	4.84842435743	1	2015-08-06 16:43:14.628254
1	29	14	1	pre	0	90	1	90	0.25	0.0272602657919	SE	n	SE	1	1.08575892448	0.0263581420161	5.05543952125	1	2015-08-06 16:43:16.604180
1	30	16	2	pre	0	90	1	90	0.25	0.0187157098512	NE	n	NE	1	1.28567194939	0.0187006374715	6.65650444944	1	2015-08-06 16:43:18.806537
1	31	15	1	pre	0	90	1	90	0.25	0.0187157098512	NW	n	NW	1	1.21936106682	0.023469526534	3.91714880504	1	2015-08-06 16:43:20.921469
1	32	16	1	pre	0	90	1	90	0.25	0.0150539486329	SE	n	NW	0	1.33638000488	0.0272538036471	4.78339735042	1	2015-08-06 16:43:23.147948
1	33	17	2	pre	0	90	1	90	0.25	0.0183489118883	SW	n	NW	0	1.3658208847	0.0206880354281	6.79944424996	1	2015-08-06 16:43:25.403494
1	34	17	1	pre	0	90	1	90	0.25	0.0262022212141	NE	n	NE	1	1.15022420883	0.0251494960792	5.06152356415	1	2015-08-06 16:43:27.447591
1	35	18	2	pre	0	90	1	90	0.25	0.0198606871035	SW	n	SW	1	1.16207194328	0.0197713617372	6.8713695347	1	2015-08-06 16:43:29.503210
1	36	18	1	pre	0	90	1	90	0.25	0.0198606871035	SE	n	SE	1	1.17840099335	0.0232759638838	4.21492165693	1	2015-08-06 16:43:31.573878
1	37	19	1	pre	0	90	1	90	0.25	0.0194714494187	SW	n	NW	0	1.19567298889	0.0261635493058	4.97424448074	1	2015-08-06 16:43:33.665297
1	38	20	1	pre	0	90	1	90	0.25	0.0267260082062	NW	n	NW	1	1.26421713829	0.0246599261086	5.39935502394	1	2015-08-06 16:43:35.823226
1	39	21	1	pre	0	90	1	90	0.25	0.0206626608038	NW	n	NW	1	1.39423298836	0.023347443755	4.6659836384	1	2015-08-06 16:43:38.249687
1	40	19	2	pre	0	90	1	90	0.25	0.0156618264382	SW	n	NW	0	1.44757008553	0.020409849776	8.04636027855	1	2015-08-06 16:43:40.587654
1	41	20	2	pre	0	90	1	90	0.25	0.0202577057178	NW	n	NW	1	1.39766693115	0.0197321156136	8.3734315406	1	2015-08-06 16:43:43.013106
1	42	21	2	pre	0	90	1	90	0.25	0.0198606871035	SE	n	SE	1	1.28401994705	0.0192092972782	8.67527104108	1	2015-08-06 16:43:45.187504
1	43	22	1	pre	0	90	1	90	0.25	0.0166199752417	SW	n	SW	1	1.38969683647	0.0220866292427	3.53115796616	1	2015-08-06 16:43:47.474702
1	44	22	2	pre	0	90	1	90	0.25	0.0194714494187	NE	n	NE	1	1.22242808342	0.0187829233807	8.93944434209	1	2015-08-06 16:43:49.591031
1	45	23	1	pre	0	90	1	90	0.25	0.01475891533	SE	n	SE	1	1.28204798698	0.0205817891137	2.63925500249	1	2015-08-06 16:43:51.766096
1	46	24	1	pre	0	90	1	90	0.25	0.0128493903144	SE	n	SE	1	1.17892503738	0.0188526294602	2.0405720468	1	2015-08-06 16:43:53.841350
1	47	25	1	pre	0	90	1	90	0.25	0.0109676760216	NE	n	NE	1	1.35161590576	0.0169679437828	1.70878532461	1	2015-08-06 16:43:56.090659
1	48	23	2	pre	0	90	1	90	0.25	0.0194714494187	SW	n	SW	1	1.24625205994	0.0184411881656	9.24839186557	1	2015-08-06 16:43:58.230156
1	49	26	1	pre	0	90	1	90	0.25	0.00899818106145	SW	n	NW	0	1.55470490456	0.0194128457842	1.85004091005	1	2015-08-06 16:44:00.685483
1	50	24	2	pre	0	90	1	90	0.25	0.0190898401697	SE	n	SE	1	1.19527387619	0.0181416929749	9.4909965603	1	2015-08-06 16:44:02.769241
1	51	25	2	pre	0	90	1	90	0.25	0.0156618264382	NE	n	NW	0	1.35149717331	0.0185008336557	10.7056248196	1	2015-08-06 16:44:05.012179
1	52	26	2	pre	0	90	1	90	0.25	0.0190898401697	SW	n	SE	0	1.33248901367	0.0192707664055	9.63507027167	1	2015-08-06 16:44:07.239095
1	53	27	1	pre	0	90	1	90	0.25	0.0121086173724	NW	n	NE	0	1.41751098633	0.0212835977325	2.24196507904	1	2015-08-06 16:44:09.553784
1	54	28	1	pre	0	90	1	90	0.25	0.0133682481486	NW	n	SE	0	1.46275305748	0.0227103124293	2.75821819304	1	2015-08-06 16:44:11.914170
1	55	27	2	pre	0	90	1	90	0.25	0.0202577057178	SE	n	SE	1	1.14231705666	0.0190185039746	10.0486460645	1	2015-08-06 16:44:13.944931
1	56	29	1	pre	0	90	1	90	0.25	0.0150539486329	NW	n	NW	1	1.28751397133	0.0216571326428	2.21020165167	1	2015-08-06 16:44:16.129889
1	57	28	2	pre	0	90	1	90	0.25	0.0198606871035	SE	n	SE	1	1.23048114777	0.0188074226478	10.4055804718	1	2015-08-06 16:44:18.252221
1	58	30	1	pre	0	90	1	90	0.25	0.0128493903144	NE	n	NW	0	1.49205803871	0.0227816183348	2.65352781786	1	2015-08-06 16:44:20.645709
1	59	31	1	pre	0	90	1	90	0.25	0.0272602657919	SW	n	SW	1	1.13854789734	0.0218610002649	2.84981585533	1	2015-08-06 16:44:22.678782
1	60	29	2	pre	0	90	1	90	0.25	0.0198606871035	NE	n	NE	1	1.23341393471	0.0186387585907	10.7556128666	1	2015-08-06 16:44:24.804517
